system,gb_type,x_cr,energy,density_scaled
boron,S5,10,-4.0,0.0
boron,S5,10,-3.9899799599198396,0.0
boron,S5,10,-3.9799599198396796,0.0
boron,S5,10,-3.969939879759519,0.0
boron,S5,10,-3.9599198396793587,0.0
boron,S5,10,-3.9498997995991982,0.0
boron,S5,10,-3.9398797595190382,0.0
boron,S5,10,-3.929859719438878,0.0
boron,S5,10,-3.9198396793587174,0.0
boron,S5,10,-3.909819639278557,0.0
boron,S5,10,-3.899799599198397,0.0
boron,S5,10,-3.8897795591182365,0.0
boron,S5,10,-3.879759519038076,0.0
boron,S5,10,-3.869739478957916,0.0
boron,S5,10,-3.8597194388777556,0.0
boron,S5,10,-3.849699398797595,0.0
boron,S5,10,-3.8396793587174347,0.0
boron,S5,10,-3.8296593186372747,0.0
boron,S5,10,-3.8196392785571143,0.0
boron,S5,10,-3.809619238476954,0.0
boron,S5,10,-3.799599198396794,0.0
boron,S5,10,-3.7895791583166334,0.0
boron,S5,10,-3.779559118236473,0.0
boron,S5,10,-3.7695390781563125,0.0
boron,S5,10,-3.7595190380761525,0.0
boron,S5,10,-3.749498997995992,0.0
boron,S5,10,-3.7394789579158316,0.0
boron,S5,10,-3.729458917835671,0.0
boron,S5,10,-3.719438877755511,0.0
boron,S5,10,-3.7094188376753507,0.0
boron,S5,10,-3.6993987975951903,0.0
boron,S5,10,-3.68937875751503,0.0
boron,S5,10,-3.67935871743487,0.0
boron,S5,10,-3.6693386773547094,0.0
boron,S5,10,-3.659318637274549,0.0
boron,S5,10,-3.649298597194389,0.0
boron,S5,10,-3.6392785571142285,0.0
boron,S5,10,-3.629258517034068,0.0
boron,S5,10,-3.6192384769539077,0.0
boron,S5,10,-3.6092184368737477,0.0
boron,S5,10,-3.599198396793587,0.0
boron,S5,10,-3.5891783567134268,0.0
boron,S5,10,-3.579158316633267,0.0
boron,S5,10,-3.5691382765531063,0.0
boron,S5,10,-3.559118236472946,0.0
boron,S5,10,-3.5490981963927855,0.0
boron,S5,10,-3.5390781563126255,0.0
boron,S5,10,-3.529058116232465,0.0
boron,S5,10,-3.5190380761523046,0.0
boron,S5,10,-3.509018036072144,0.0
boron,S5,10,-3.498997995991984,0.0
boron,S5,10,-3.4889779559118237,0.0
boron,S5,10,-3.4789579158316633,0.0
boron,S5,10,-3.468937875751503,0.0
boron,S5,10,-3.458917835671343,0.0
boron,S5,10,-3.4488977955911824,0.0
boron,S5,10,-3.438877755511022,0.0
boron,S5,10,-3.428857715430862,0.0
boron,S5,10,-3.4188376753507015,0.0
boron,S5,10,-3.408817635270541,0.0
boron,S5,10,-3.3987975951903806,0.0
boron,S5,10,-3.3887775551102206,0.0
boron,S5,10,-3.37875751503006,0.0
boron,S5,10,-3.3687374749498997,0.0
boron,S5,10,-3.3587174348697397,0.0
boron,S5,10,-3.3486973947895793,0.0
boron,S5,10,-3.338677354709419,0.0
boron,S5,10,-3.3286573146292584,0.0
boron,S5,10,-3.318637274549098,0.0
boron,S5,10,-3.308617234468938,0.0
boron,S5,10,-3.2985971943887775,0.0
boron,S5,10,-3.2885771543086175,0.0
boron,S5,10,-3.278557114228457,0.0
boron,S5,10,-3.2685370741482966,0.0
boron,S5,10,-3.258517034068136,0.0
boron,S5,10,-3.2484969939879758,0.0
boron,S5,10,-3.2384769539078158,0.0
boron,S5,10,-3.2284569138276553,0.0
boron,S5,10,-3.218436873747495,0.0
boron,S5,10,-3.208416833667335,0.0
boron,S5,10,-3.1983967935871744,0.0
boron,S5,10,-3.188376753507014,0.0
boron,S5,10,-3.1783567134268536,0.0
boron,S5,10,-3.1683366733466936,0.0
boron,S5,10,-3.158316633266533,0.0
boron,S5,10,-3.1482965931863727,0.0
boron,S5,10,-3.1382765531062127,0.0
boron,S5,10,-3.1282565130260522,0.0
boron,S5,10,-3.118236472945892,0.0
boron,S5,10,-3.1082164328657313,0.0
boron,S5,10,-3.098196392785571,0.0
boron,S5,10,-3.088176352705411,0.0
boron,S5,10,-3.0781563126252505,0.0
boron,S5,10,-3.0681362725450905,0.0
boron,S5,10,-3.05811623246493,0.0
boron,S5,10,-3.0480961923847696,0.0
boron,S5,10,-3.038076152304609,0.0
boron,S5,10,-3.0280561122244487,0.0
boron,S5,10,-3.0180360721442887,0.0
boron,S5,10,-3.0080160320641283,0.0
boron,S5,10,-2.9979959919839683,0.0
boron,S5,10,-2.987975951903808,0.0
boron,S5,10,-2.9779559118236474,0.0
boron,S5,10,-2.967935871743487,0.0
boron,S5,10,-2.9579158316633265,0.0
boron,S5,10,-2.947895791583166,0.0
boron,S5,10,-2.937875751503006,0.0
boron,S5,10,-2.927855711422846,0.0
boron,S5,10,-2.9178356713426856,0.0
boron,S5,10,-2.907815631262525,0.0
boron,S5,10,-2.8977955911823647,0.0
boron,S5,10,-2.8877755511022043,0.0
boron,S5,10,-2.877755511022044,0.0
boron,S5,10,-2.867735470941884,0.0
boron,S5,10,-2.8577154308617234,0.0
boron,S5,10,-2.8476953907815634,0.0
boron,S5,10,-2.837675350701403,0.0
boron,S5,10,-2.8276553106212425,0.0
boron,S5,10,-2.817635270541082,0.0
boron,S5,10,-2.8076152304609217,0.0
boron,S5,10,-2.7975951903807617,0.0
boron,S5,10,-2.787575150300601,0.0
boron,S5,10,-2.777555110220441,0.0
boron,S5,10,-2.7675350701402808,0.0
boron,S5,10,-2.7575150300601203,0.0
boron,S5,10,-2.74749498997996,0.0
boron,S5,10,-2.7374749498997994,0.0
boron,S5,10,-2.727454909819639,0.0
boron,S5,10,-2.717434869739479,0.0
boron,S5,10,-2.707414829659319,0.0
boron,S5,10,-2.6973947895791586,0.0
boron,S5,10,-2.687374749498998,0.0
boron,S5,10,-2.6773547094188377,0.0
boron,S5,10,-2.6673346693386772,0.0
boron,S5,10,-2.657314629258517,0.0
boron,S5,10,-2.647294589178357,0.0
boron,S5,10,-2.6372745490981964,0.0
boron,S5,10,-2.6272545090180364,0.0
