system,gb_type,temp,x_cr,sro,density_scaled
boron,S5,300,10,-3.5,3.904786361525455e-74
boron,S5,300,10,-3.4899799599198396,5.254578212933436e-75
boron,S5,300,10,-3.4799599198396796,6.98575846893545e-76
boron,S5,300,10,-3.469939879759519,9.175387046695057e-77
boron,S5,300,10,-3.4599198396793587,1.1906122391319198e-77
boron,S5,300,10,-3.4498997995991982,1.5263404517274455e-78
boron,S5,300,10,-3.4398797595190382,1.9331591435815128e-79
boron,S5,300,10,-3.429859719438878,2.4189056215030713e-80
boron,S5,300,10,-3.4198396793587174,2.9902352845202725e-81
boron,S5,300,10,-3.409819639278557,3.6519676514311233e-82
boron,S5,300,10,-3.399799599198397,4.4063968108468755e-83
boron,S5,300,10,-3.3897795591182365,5.25261305423759e-84
boron,S5,300,10,-3.379759519038076,6.185892027160391e-85
boron,S5,300,10,-3.369739478957916,7.197213468001062e-86
boron,S5,300,10,-3.3597194388777556,8.272972007126353e-87
boron,S5,300,10,-3.349699398797595,9.394936473142351e-88
boron,S5,300,10,-3.3396793587174347,1.0540501222574155e-88
boron,S5,300,10,-3.3296593186372747,1.168325350674564e-89
boron,S5,300,10,-3.3196392785571143,1.2793856041886726e-90
boron,S5,300,10,-3.309619238476954,1.38412158447034e-91
boron,S5,300,10,-3.299599198396794,1.4793881816570847e-92
boron,S5,300,10,-3.2895791583166334,1.5621587681715452e-93
boron,S5,300,10,-3.279559118236473,1.6296836887552662e-94
boron,S5,300,10,-3.2695390781563125,1.679641470691862e-95
boron,S5,300,10,-3.2595190380761525,1.7102711948047792e-96
boron,S5,300,10,-3.249498997995992,1.7204755121612326e-97
boron,S5,300,10,-3.2394789579158316,1.7098859043498592e-98
boron,S5,300,10,-3.229458917835671,1.6788847755741755e-99
boron,S5,300,10,-3.219438877755511,1.6285825298364008e-100
boron,S5,300,10,-3.2094188376753507,1.5607515492327132e-101
boron,S5,300,10,-3.1993987975951903,1.477722547024158e-102
boron,S5,300,10,-3.18937875751503,1.3822517456572729e-103
boron,S5,300,10,-3.17935871743487,1.2773694243576468e-104
boron,S5,300,10,-3.1693386773547094,1.1662214044136775e-105
boron,S5,300,10,-3.159318637274549,1.0519149362278029e-106
boron,S5,300,10,-3.149298597194389,9.373792972770757e-108
boron,S5,300,10,-3.1392785571142285,8.252493967700238e-109
boron,S5,300,10,-3.129258517034068,7.177780870221187e-110
boron,S5,300,10,-3.1192384769539077,6.167800217173111e-111
boron,S5,300,10,-3.1092184368737477,5.236070945353069e-112
boron,S5,300,10,-3.099198396793587,4.391530151283767e-113
boron,S5,300,10,-3.0891783567134268,3.638826405528288e-114
boron,S5,300,10,-3.079158316633267,2.9788040001997155e-115
boron,S5,300,10,-3.0691382765531063,2.4091156082340748e-116
boron,S5,300,10,-3.059118236472946,1.924901347193824e-117
boron,S5,300,10,-3.0490981963927855,1.519478060352682e-118
boron,S5,300,10,-3.0390781563126255,1.1849922584315226e-119
boron,S5,300,10,-3.029058116232465,9.130019700415767e-121
boron,S5,300,10,-3.0190380761523046,6.949651683788539e-122
boron,S5,300,10,-3.009018036072144,5.226241619334844e-123
boron,S5,300,10,-2.998997995991984,3.882853921683438e-124
boron,S5,300,10,-2.9889779559118237,2.850018914054711e-125
boron,S5,300,10,-2.9789579158316633,2.066710064648904e-126
boron,S5,300,10,-2.968937875751503,1.4806298096693274e-127
boron,S5,300,10,-2.958917835671343,1.047969263976501e-128
boron,S5,300,10,-2.9488977955911824,7.3280044438688e-130
boron,S5,300,10,-2.938877755511022,5.062418270080208e-131
boron,S5,300,10,-2.928857715430862,3.455138396093673e-132
boron,S5,300,10,-2.9188376753507015,2.3297428785951662e-133
boron,S5,300,10,-2.908817635270541,1.551978355494131e-134
boron,S5,300,10,-2.8987975951903806,1.021406105400689e-135
boron,S5,300,10,-2.8887775551102206,6.641196968960835e-137
boron,S5,300,10,-2.87875751503006,4.266083922822745e-138
boron,S5,300,10,-2.8687374749498997,2.7073696149866972e-139
boron,S5,300,10,-2.8587174348697397,1.6974650003719427e-140
boron,S5,300,10,-2.8486973947895793,1.051451460316216e-141
boron,S5,300,10,-2.838677354709419,6.434469561097785e-143
boron,S5,300,10,-2.8286573146292584,3.890195213100635e-144
boron,S5,300,10,-2.818637274549098,2.3236202981364575e-145
boron,S5,300,10,-2.808617234468938,1.3711786747938217e-146
boron,S5,300,10,-2.7985971943887775,7.99388803466289e-148
boron,S5,300,10,-2.7885771543086175,4.60423194796543e-149
boron,S5,300,10,-2.778557114228457,2.619940624767504e-150
boron,S5,300,10,-2.7685370741482966,1.472857824684136e-151
boron,S5,300,10,-2.758517034068136,8.180226439407291e-153
boron,S5,300,10,-2.7484969939879758,4.4885384227943714e-154
boron,S5,300,10,-2.7384769539078158,2.433210550032887e-155
boron,S5,300,10,-2.7284569138276553,1.3031354418704629e-156
boron,S5,300,10,-2.718436873747495,6.8950043506887654e-158
boron,S5,300,10,-2.708416833667335,3.604247904410783e-159
boron,S5,300,10,-2.6983967935871744,1.8613578998832442e-160
boron,S5,300,10,-2.688376753507014,9.496864491167188e-162
boron,S5,300,10,-2.6783567134268536,4.787025243772934e-163
boron,S5,300,10,-2.6683366733466936,2.3838905734656798e-164
boron,S5,300,10,-2.658316633266533,1.1728488250254919e-165
boron,S5,300,10,-2.6482965931863727,5.700761605145742e-167
boron,S5,300,10,-2.6382765531062127,2.737529734479681e-168
boron,S5,300,10,-2.6282565130260522,1.2987331688689204e-169
boron,S5,300,10,-2.618236472945892,6.087179964450836e-171
boron,S5,300,10,-2.6082164328657313,2.8186910281552606e-172
boron,S5,300,10,-2.598196392785571,1.289477969706493e-173
boron,S5,300,10,-2.588176352705411,5.827945778072312e-175
boron,S5,300,10,-2.5781563126252505,2.6022690737468207e-176
boron,S5,300,10,-2.5681362725450905,1.1479527704540785e-177
boron,S5,300,10,-2.55811623246493,5.0030052970705494e-179
boron,S5,300,10,-2.5480961923847696,2.1541355452226982e-180
boron,S5,300,10,-2.538076152304609,9.163264304993617e-182
boron,S5,300,10,-2.5280561122244487,3.850902492699237e-183
boron,S5,300,10,-2.5180360721442887,1.598858215813302e-184
boron,S5,300,10,-2.5080160320641283,6.558318526848982e-186
boron,S5,300,10,-2.4979959919839683,2.65772585208149e-187
boron,S5,300,10,-2.487975951903808,1.0640523079772498e-188
boron,S5,300,10,-2.4779559118236474,4.2087283696930434e-190
boron,S5,300,10,-2.467935871743487,1.6446517022056088e-191
boron,S5,300,10,-2.4579158316633265,6.349391444761752e-193
boron,S5,300,10,-2.447895791583166,2.42172814011105e-194
boron,S5,300,10,-2.437875751503006,9.12543962580045e-196
boron,S5,300,10,-2.427855711422846,3.397170359444765e-197
boron,S5,300,10,-2.4178356713426856,1.249441648133531e-198
boron,S5,300,10,-2.407815631262525,4.539936230863934e-200
boron,S5,300,10,-2.3977955911823647,1.629741216747269e-201
boron,S5,300,10,-2.3877755511022043,5.779931184383968e-203
boron,S5,300,10,-2.377755511022044,2.025171507118173e-204
boron,S5,300,10,-2.367735470941884,7.010291408728139e-206
boron,S5,300,10,-2.3577154308617234,2.3974273552708526e-207
boron,S5,300,10,-2.3476953907815634,8.100092224384379e-209
boron,S5,300,10,-2.337675350701403,2.7037690534241632e-210
boron,S5,300,10,-2.3276553106212425,8.916293264996973e-212
boron,S5,300,10,-2.317635270541082,2.9049202765098384e-213
boron,S5,300,10,-2.3076152304609217,9.350163684558074e-215
boron,S5,300,10,-2.2975951903807617,2.973304112920728e-216
boron,S5,300,10,-2.287575150300601,9.341025800608433e-218
boron,S5,300,10,-2.277555110220441,2.899245113126853e-219
boron,S5,300,10,-2.2675350701402808,8.890177213280494e-221
boron,S5,300,10,-2.2575150300601203,2.693214999588245e-222
boron,S5,300,10,-2.24749498997996,8.060588547211178e-224
boron,S5,300,10,-2.2374749498997994,2.383403670801403e-225
boron,S5,300,10,-2.227454909819639,6.962473845577564e-227
boron,S5,300,10,-2.217434869739479,2.009392013480391e-228
boron,S5,300,10,-2.207414829659319,5.72929110038597e-230
boron,S5,300,10,-2.1973947895791586,1.6138836737736843e-231
boron,S5,300,10,-2.187374749498998,4.491368509539349e-233
boron,S5,300,10,-2.1773547094188377,1.23486725126607e-234
boron,S5,300,10,-2.1673346693386772,3.3542619756114105e-236
boron,S5,300,10,-2.157314629258517,9.001374004060423e-238
boron,S5,300,10,-2.147294589178357,2.386468777889386e-239
boron,S5,300,10,-2.1372745490981964,6.250832032379767e-241
boron,S5,300,10,-2.1272545090180364,1.6175399784673934e-242
boron,S5,300,10,-2.117234468937876,4.135303031230486e-244
boron,S5,300,10,-2.1072144288577155,1.0444671389307136e-245
boron,S5,300,10,-2.097194388777555,2.606282290848129e-247
boron,S5,300,10,-2.0871743486973946,6.529078700447872e-249
boron,S5,300,10,-2.0771543086172346,4.488813996510548e-249
boron,S5,300,10,-2.067134268537074,1.7821421136835432e-247
boron,S5,300,10,-2.057114228456914,7.242355454955489e-246
boron,S5,300,10,-2.0470941883767537,2.907780544602299e-244
boron,S5,300,10,-2.0370741482965933,1.1533962742536648e-242
boron,S5,300,10,-2.027054108216433,4.519918293072344e-241
boron,S5,300,10,-2.0170340681362724,1.74991819236422e-239
boron,S5,300,10,-2.007014028056112,6.693295983858862e-238
boron,S5,300,10,-1.996993987975952,2.529283067845218e-236
boron,S5,300,10,-1.9869739478957917,9.442564610104983e-235
boron,S5,300,10,-1.9769539078156313,3.4827124285029347e-233
boron,S5,300,10,-1.966933867735471,1.2690548362771725e-231
boron,S5,300,10,-1.9569138276553106,4.5685489590086605e-230
boron,S5,300,10,-1.9468937875751504,1.624842613455777e-228
boron,S5,300,10,-1.93687374749499,5.709254983095337e-227
boron,S5,300,10,-1.9268537074148298,1.9819043959220583e-225
boron,S5,300,10,-1.9168336673346693,6.797059699514135e-224
boron,S5,300,10,-1.906813627254509,2.3030034577199984e-222
boron,S5,300,10,-1.8967935871743489,7.709091808368115e-221
boron,S5,300,10,-1.8867735470941884,2.549452751285299e-219
boron,S5,300,10,-1.8767535070140282,8.329632475936334e-218
boron,S5,300,10,-1.8667334669338678,2.6886844401285805e-216
boron,S5,300,10,-1.8567134268537075,8.574108010970217e-215
boron,S5,300,10,-1.846693386773547,2.701302301610146e-213
boron,S5,300,10,-1.8366733466933869,8.407997022378075e-212
boron,S5,300,10,-1.8266533066132264,2.585514822948514e-210
boron,S5,300,10,-1.8166332665330662,7.854827227012957e-209
boron,S5,300,10,-1.8066132264529058,2.3575524517013446e-207
boron,S5,300,10,-1.7965931863727456,6.990708819038168e-206
boron,S5,300,10,-1.7865731462925853,2.047935075485476e-204
boron,S5,300,10,-1.776553106212425,5.927154907652369e-203
boron,S5,300,10,-1.7665330661322647,1.6947728317226032e-201
boron,S5,300,10,-1.7565130260521042,4.787533557416422e-200
boron,S5,300,10,-1.746492985971944,1.336125618066531e-198
boron,S5,300,10,-1.7364729458917836,3.68398516769558e-197
boron,S5,300,10,-1.7264529058116234,1.0035143268440414e-195
boron,S5,300,10,-1.716432865731463,2.7006257449075997e-194
boron,S5,300,10,-1.7064128256513027,7.18026299890986e-193
boron,S5,300,10,-1.6963927855711423,1.886042272368251e-191
boron,S5,300,10,-1.686372745490982,4.894379213530614e-190
boron,S5,300,10,-1.6763527054108218,1.2548127707923365e-188
boron,S5,300,10,-1.6663326653306614,3.178303506693049e-187
boron,S5,300,10,-1.6563126252505012,7.953291974845937e-186
boron,S5,300,10,-1.6462925851703407,1.966226782762633e-184
boron,S5,300,10,-1.6362725450901805,4.802367717466004e-183
boron,S5,300,10,-1.62625250501002,1.1588102727013692e-181
boron,S5,300,10,-1.6162324649298598,2.762513342227518e-180
boron,S5,300,10,-1.6062124248496994,6.506262093311045e-179
boron,S5,300,10,-1.5961923847695392,1.5138883471065892e-177
boron,S5,300,10,-1.5861723446893787,3.4800962877476035e-176
boron,S5,300,10,-1.5761523046092185,7.903578961467905e-175
boron,S5,300,10,-1.5661322645290583,1.7733377324724376e-173
boron,S5,300,10,-1.5561122244488979,3.930920272659054e-172
boron,S5,300,10,-1.5460921843687376,8.608592259269628e-171
boron,S5,300,10,-1.5360721442885772,1.8625380898830363e-169
boron,S5,300,10,-1.526052104208417,3.9811937174228105e-168
boron,S5,300,10,-1.5160320641282565,8.407300666787922e-167
boron,S5,300,10,-1.5060120240480963,1.7540217343116936e-165
boron,S5,300,10,-1.495991983967936,3.615334486295491e-164
boron,S5,300,10,-1.4859719438877756,7.362022144432799e-163
boron,S5,300,10,-1.4759519038076152,1.4810880474254464e-161
boron,S5,300,10,-1.4659318637274552,2.943742086485935e-160
boron,S5,300,10,-1.4559118236472948,5.780344985338481e-159
boron,S5,300,10,-1.4458917835671343,1.1213543783221395e-157
boron,S5,300,10,-1.4358717434869739,2.1491519854430843e-156
boron,S5,300,10,-1.4258517034068139,4.069363616109939e-155
boron,S5,300,10,-1.4158316633266534,7.612389268124103e-154
boron,S5,300,10,-1.405811623246493,1.4068590900857223e-152
boron,S5,300,10,-1.3957915831663326,2.568711534377072e-151
boron,S5,300,10,-1.3857715430861726,4.633564286345298e-150
boron,S5,300,10,-1.3757515030060121,8.257530223710933e-149
