system,gb_type,temp,x_cr,mean_sro,iqr_sro,strong_order_fraction
boron,S5,300,10,0.9999999895831737,0.0,1.4045545907824254e-75
boron,S5,300,15,-0.0160116234110948,1.9209876543209874,0.20288273906819876
boron,S5,300,20,-0.5631977917738622,0.5137614678899083,0.18055555563528372
boron,S5,300,25,-0.5091671225086193,0.0,0.016070835996749147
boron,S5,600,10,0.999999999999284,0.0,1.5931993325064706e-13
boron,S5,600,15,-0.04731169000103369,1.8888888888888888,0.2329891359055652
boron,S5,600,20,-0.8746167998385561,0.9196639583225519,0.37735430998919633
boron,S5,600,25,-0.5862975411900948,0.5167230873392012,0.14720277428904188
boron,S5,900,10,0.7265286770286775,0.0,0.09609609609609593
boron,S5,900,15,0.3586138062782703,1.3266666666666664,0.10148404422282602
boron,S5,900,20,-0.6767377227169096,0.852444444444445,0.37071119244178946
boron,S5,900,25,-0.5083661864756785,0.3270094562647754,0.06200000139966358
boron,S5,1200,10,0.5784014870181101,0.0,0.12354566795473576
boron,S5,1200,15,0.31082096615396276,1.3295454545454546,0.0920914259065728
boron,S5,1200,20,-0.6370810978226001,1.2437641127973533,0.34358048777339306
boron,S5,1200,25,-0.5177087587530271,0.6058823529411763,0.06618419709468802
boron,HM,300,10,0.7617975530615119,0.0,0.09541015845896587
boron,HM,300,15,0.3762698587542231,1.4278959810874705,0.11586390208430267
boron,HM,300,20,-0.2882191811463883,2.2298195631528963,0.2993118124464221
boron,HM,300,25,-0.41783530546464404,0.9423712921245639,0.11641484313203017
boron,HM,600,10,0.9440129674358286,0.0,0.013175424079104794
boron,HM,600,15,0.4947895862989887,1.3115079365079365,0.07153037805417291
boron,HM,600,20,0.2056530166358575,1.3825049364432926,0.13135155907867074
boron,HM,600,25,-0.4150442241842321,0.7548431518622793,0.10563386091503206
boron,HM,900,10,0.7844257876905997,0.0,0.07291666666666657
boron,HM,900,15,0.37034611647885585,1.3333333333333333,0.10337102877166501
boron,HM,900,20,-0.38571203273884314,1.4603190061896723,0.27404752087880135
boron,HM,900,25,-0.4872472593688489,0.6622915832999867,0.1313203530386484
boron,HM,1200,10,0.7606754346192642,0.0,0.09313655656594315
boron,HM,1200,15,0.19361355935946656,1.3016666666666665,0.14711477255972066
boron,HM,1200,20,-0.4527288524109036,1.7030290252301636,0.315518926404259
boron,HM,1200,25,-0.43944496932568383,0.7883222069741067,0.1809097537455127
carbon,S5,300,10,-1.2196357240686744,1.4544642857142862,0.5935180509777842
carbon,S5,300,15,-0.8132861639294898,0.5191256830601094,0.4340765292918708
carbon,S5,300,20,-0.3475678044464703,0.18977384464110103,0.0
carbon,S5,300,25,-0.4414158029279202,0.22374645222327372,0.0
carbon,S5,600,10,-1.0991426006229013,1.1362752525252526,0.5573914163274103
carbon,S5,600,15,-0.9810070925137742,0.6592970521541952,0.4666496558685796
carbon,S5,600,20,-0.4957683355111093,0.23864894795127367,6.05619098142786e-309
carbon,S5,600,25,-0.46026317388785265,0.22799422799422797,0.0
carbon,S5,900,10,-1.2702146626212873,1.359106529209622,0.6539839360983013
carbon,S5,900,15,-0.7712601393642182,0.6714285714285713,0.3223677598219914
carbon,S5,900,20,-0.6257125471367453,0.21950113378684777,5.392735863814657e-21
carbon,S5,900,25,-0.47328554400416456,0.22466476783619993,0.0
carbon,S5,1200,10,-1.3167494321403979,1.0642303433001108,0.6420401824080484
carbon,S5,1200,15,-0.9945190668353932,0.7327206944553886,0.5558791470201179
carbon,S5,1200,20,-0.7109173125256553,0.3430620560159834,0.11645569620230309
carbon,S5,1200,25,-0.595702174901926,0.2595890053721379,3.3228300503493697e-94
carbon,HM,300,10,-1.0626836741994667,2.579777365491651,0.49687586558877705
carbon,HM,300,15,-1.30164616675314,1.1746305418719214,0.6868572158014059
carbon,HM,300,20,-0.9057598698947327,0.3777975169484604,0.40749840624160455
carbon,HM,300,25,-0.6914454241444993,0.2682724252491695,7.273857950937691e-25
carbon,HM,600,10,-1.1977595184018295,2.7456709956709955,0.5696211455936235
carbon,HM,600,15,-1.2560347148225075,1.1499828651784973,0.5827902979741673
carbon,HM,600,20,-0.9184620571308035,0.392720967390515,0.4893937689775786
carbon,HM,600,25,-0.6099186127620934,0.25148445686343,8.486915220928656e-131
carbon,HM,900,10,-0.9709166444741086,2.5295031055900625,0.5009974896197635
carbon,HM,900,15,-1.4142314978288075,0.859824888039048,0.7023601131902241
carbon,HM,900,20,-0.9129026861023792,0.39572877187294053,0.4701908293899438
carbon,HM,900,25,-0.6640599808665739,0.2650676081650887,6.16291917583732e-57
carbon,HM,1200,10,-1.0380750186664829,2.7277432712215326,0.5646393116695131
carbon,HM,1200,15,-1.3465378584276877,1.1592062894864144,0.7162816613892344
carbon,HM,1200,20,-0.910240137455752,0.7944026068256289,0.521241425323212
carbon,HM,1200,25,-0.7229946214313692,0.496415810964991,0.2865111214153536
