interstitial,gb_type,x_cr_nominal,step,energy_keV,x_gb_cr
B,s5,10,0,-24.97716557580535,
B,s5,10,100,-25.108408405149017,
B,s5,10,200,-25.255699969781926,9.935897435897436
B,s5,10,300,-25.291634298126016,
B,s5,10,400,-25.376343021858034,12.025316455696203
B,s5,10,500,-25.40222231750754,
B,s5,10,600,-25.45983085062623,11.842105263157896
B,s5,10,700,-25.501783561733998,
B,s5,10,800,-25.53357894324521,11.37123745819398
B,s5,10,900,-25.543042990966313,
B,s5,10,1000,-25.55000341761916,10.76388888888889
B,s5,10,1100,-25.569115779762246,
B,s5,10,1200,-25.602969753758416,10.069444444444445
B,s5,10,1300,-25.628225248265476,
B,s5,10,1400,-25.632478998504087,8.098591549295774
B,s5,10,1500,-25.6512830257058,
B,s5,10,1600,-25.667462241797097,9.183673469387756
B,s5,10,1700,-25.70359155409062,
B,s5,10,1800,-25.732025564462152,9.554140127388536
B,s5,10,1900,-25.73274876437677,
B,s5,10,2000,-25.713417523362473,9.967845659163988
B,s5,10,2100,-25.714665684362412,
B,s5,10,2200,-25.709234474751522,7.0287539936102235
B,s5,10,2300,-25.70402500117314,
B,s5,10,2400,-25.69819097870471,8.737864077669903
B,s5,10,2500,-25.69725629327203,
B,s5,10,2600,-25.71150486652309,6.430868167202572
B,s5,10,2700,-25.711714214099754,
B,s5,10,2800,-25.705338266376103,8.19672131147541
B,s5,10,2900,-25.701315620150673,
B,s5,10,3000,-25.702328581476042,8.02675585284281
B,s5,10,3100,-25.703087383426947,
B,s5,10,3200,-25.71061685546005,6.644518272425249
B,s5,10,3300,-25.74048167847983,
B,s5,10,3400,-25.748083765709943,4.8076923076923075
B,s5,10,3500,-25.763846717981817,
B,s5,10,3600,-25.78452169168264,5.660377358490566
B,s5,10,3700,-25.790785681114773,
B,s5,10,3800,-25.796420461850026,6.134969325153374
B,s5,10,3900,-25.804380865270893,
B,s5,10,4000,-25.811119683285455,7.079646017699115
B,s5,10,4100,-25.797522723316074,
B,s5,10,4200,-25.793215264934158,7.098765432098766
B,s5,10,4300,-25.813096303743322,
B,s5,10,4400,-25.801555377420303,6.769230769230769
B,s5,10,4500,-25.790282820063762,
B,s5,10,4600,-25.796985378586196,7.861635220125786
B,s5,10,4700,-25.81681664768985,
B,s5,10,4800,-25.81751123501838,7.0552147239263805
B,s5,10,4900,-25.823207360485576,
B,s5,10,5000,-25.823417859907128,6.948640483383686
B,s5,10,5100,-25.81784141473864,
B,s5,10,5200,-25.839102380407763,6.231454005934718
B,s5,10,5300,-25.853547704119652,
B,s5,10,5400,-25.86101346557557,4.705882352941177
B,s5,10,5500,-25.868899126620363,
B,s5,10,5600,-25.87538680105118,5.523255813953488
B,s5,10,5700,-25.867763588349455,
B,s5,10,5800,-25.876001006143174,5.044510385756676
B,s5,10,5900,-25.86358926926393,
B,s5,10,6000,-25.872157391714524,5.491329479768786
